epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,14100.4,1.12663,2.16002,0.71746,0.93329,0.41761,0.33901,0.31762,0.19072,0.38979,0.31372,0.2839,0.15231,1.22569,2.43291,0.80124,0.96997,0.000339364,0.000339364,0.000339364
55,14361.7,1.11147,2.13449,0.70908,0.93248,0.48114,0.33091,0.33158,0.19978,0.44984,0.30748,0.29726,0.15915,1.22685,2.43168,0.80513,0.97571,0.000332296,0.000332296,0.000332296
56,14622.3,1.12154,2.1596,0.71403,0.93454,0.46572,0.31669,0.32919,0.19816,0.48473,0.2919,0.29769,0.16028,1.22876,2.43883,0.79539,0.97369,0.000325227,0.000325227,0.000325227
57,14886.7,1.12084,2.1424,0.71144,0.93087,0.38567,0.30944,0.31637,0.18948,0.45771,0.24788,0.28195,0.15196,1.22929,2.44745,0.79992,0.97169,0.000318158,0.000318158,0.000318158
58,15149,1.12377,2.14539,0.71221,0.93043,0.43825,0.33349,0.32457,0.19619,0.40853,0.30958,0.28905,0.15243,1.23584,2.4397,0.80827,0.97422,0.00031109,0.00031109,0.00031109
59,15411.7,1.12096,2.15525,0.71011,0.93286,0.42766,0.32993,0.32951,0.19477,0.49595,0.26541,0.2957,0.1538,1.23216,2.42868,0.79996,0.97344,0.000304021,0.000304021,0.000304021
60,15673.5,1.11704,2.14225,0.70608,0.92865,0.50067,0.33188,0.33171,0.1985,0.47797,0.31155,0.30079,0.15889,1.22305,2.43029,0.79252,0.97057,0.000296953,0.000296953,0.000296953
61,15934.9,1.1074,2.12707,0.6983,0.92855,0.38715,0.33634,0.31953,0.19095,0.36076,0.30686,0.28411,0.15226,1.22503,2.42624,0.79377,0.97397,0.000289884,0.000289884,0.000289884
62,16198.9,1.11821,2.14285,0.70692,0.93196,0.37587,0.35468,0.32428,0.19472,0.35113,0.32788,0.29469,0.15703,1.22537,2.42195,0.79305,0.97116,0.000282815,0.000282815,0.000282815
63,16463.3,1.11431,2.12876,0.70166,0.93122,0.39887,0.32868,0.31993,0.19063,0.37146,0.30151,0.28777,0.15269,1.22291,2.44065,0.79483,0.97281,0.000275747,0.000275747,0.000275747
64,16729.2,1.12055,2.15476,0.70461,0.9302,0.395,0.33708,0.32299,0.19291,0.37827,0.30586,0.29313,0.15376,1.22295,2.41996,0.79035,0.97336,0.000268678,0.000268678,0.000268678
65,16994.9,1.09837,2.11162,0.69334,0.92804,0.48156,0.29459,0.31407,0.18743,0.45179,0.27343,0.27992,0.14786,1.22098,2.41696,0.7896,0.9733,0.00026161,0.00026161,0.00026161
66,17261.4,1.10883,2.12524,0.69495,0.92786,0.43051,0.321,0.31949,0.19298,0.41063,0.29534,0.28943,0.15494,1.21483,2.42279,0.78813,0.97078,0.000254541,0.000254541,0.000254541
67,17525.9,1.10577,2.12244,0.69098,0.9254,0.49152,0.2951,0.32758,0.19973,0.46949,0.27258,0.29464,0.15703,1.21801,2.42147,0.79086,0.97046,0.000247472,0.000247472,0.000247472
68,17793.2,1.09754,2.10873,0.68828,0.92594,0.50095,0.28776,0.32308,0.19446,0.46699,0.26617,0.2927,0.15451,1.21848,2.42379,0.78576,0.97257,0.000240404,0.000240404,0.000240404
69,18055.9,1.10725,2.12812,0.69502,0.92694,0.44829,0.30371,0.32085,0.19422,0.41992,0.27985,0.2883,0.15398,1.21793,2.4187,0.78969,0.97358,0.000233335,0.000233335,0.000233335
70,18320.5,1.10231,2.12256,0.69289,0.92678,0.4263,0.32398,0.33311,0.19875,0.4077,0.30105,0.30031,0.15723,1.21794,2.41126,0.78456,0.9696,0.000226267,0.000226267,0.000226267
71,18584.1,1.10397,2.11296,0.68762,0.92467,0.53905,0.30246,0.33419,0.20202,0.51251,0.28182,0.29905,0.1605,1.21494,2.41525,0.78199,0.96972,0.000219198,0.000219198,0.000219198
